timestamp,Temperature
2023-03-01 00:00:00,23.29
2023-03-01 00:00:02,23.33
2023-03-01 00:00:04,23.25
2023-03-01 00:00:06,23.34
2023-03-01 00:00:09,23.23
2023-03-01 00:00:16,23.20
2023-03-01 00:00:18,23.36
2023-03-01 00:00:20,23.32
2023-03-01 00:00:22,23.22
2023-03-01 00:00:24,23.25
2023-03-01 00:00:26,23.39
2023-03-01 00:00:29,23.27
2023-03-01 00:00:31,23.30
2023-03-01 00:00:33,23.36
2023-03-01 00:00:35,23.39
2023-03-01 00:00:37,23.39
2023-03-01 00:00:44,23.32
2023-03-01 00:00:47,23.29
2023-03-01 00:00:54,23.34
2023-03-01 00:00:56,23.20
2023-03-01 00:00:58,23.29
2023-03-01 00:01:00,23.39
2023-03-01 00:01:07,23.34
2023-03-01 00:01:09,23.30
2023-03-01 00:01:12,23.26
2023-03-01 00:01:14,23.33
2023-03-01 00:01:16,23.40
2023-03-01 00:01:18,23.32
2023-03-01 00:01:20,23.29
2023-03-01 00:01:22,23.36
2023-03-01 00:01:29,23.32
2023-03-01 00:01:37,23.34
2023-03-01 00:01:39,23.33
2023-03-01 00:01:41,23.37
2023-03-01 00:01:43,23.32
2023-03-01 00:01:45,23.37
2023-03-01 00:01:47,23.33
2023-03-01 00:01:49,23.40
2023-03-01 00:01:57,23.39
2023-03-01 00:02:04,23.39
2023-03-01 00:02:06,23.26
2023-03-01 00:02:08,23.36
2023-03-01 00:02:15,23.27
2023-03-01 00:02:22,23.29
2023-03-01 00:02:29,23.32
2023-03-01 00:02:32,23.40
2023-03-01 00:02:39,23.27
2023-03-01 00:02:41,23.29
2023-03-01 00:02:43,23.26
2023-03-01 00:02:45,23.34
2023-03-01 00:02:47,23.32
2023-03-01 00:02:49,23.33
2023-03-01 00:02:52,23.29
2023-03-01 00:02:59,23.26
2023-03-01 00:03:01,23.37
2023-03-01 07:31:24,22.40
2023-03-01 07:31:27,22.34
2023-03-01 07:31:29,22.37
2023-03-01 07:31:31,22.34
2023-03-01 07:31:33,22.30
2023-03-01 07:31:35,22.29
2023-03-01 07:31:42,22.36
2023-03-01 07:31:44,22.25
2023-03-01 07:31:47,22.27
2023-03-01 07:31:49,22.38
2023-03-01 07:31:51,22.29
2023-03-01 07:31:53,22.38
2023-03-01 07:31:55,22.38
2023-03-01 07:31:58,22.36
2023-03-01 07:31:59,22.29
2023-03-01 07:32:07,22.19
2023-03-01 07:32:09,22.33
2023-03-01 07:32:16,22.34
2023-03-01 07:32:18,22.30
2023-03-01 07:32:20,22.33
2023-03-01 07:32:22,22.25
2023-03-01 07:32:24,22.33
2023-03-01 07:32:27,22.27
2023-03-01 07:32:29,22.29
2023-03-01 07:32:31,22.31
2023-03-01 07:32:38,22.33
2023-03-01 07:32:45,22.34
2023-03-01 07:32:47,22.30
2023-03-01 07:32:50,22.25
2023-03-01 07:32:52,22.34
2023-03-01 07:32:59,22.25
2023-03-01 07:33:01,22.31
2023-03-01 07:33:03,22.31
2023-03-01 07:33:10,22.23
2023-03-01 07:33:12,22.37
2023-03-01 07:33:15,22.31
2023-03-01 07:33:17,22.30
2023-03-01 07:33:19,22.31
2023-03-01 07:33:21,22.31
2023-03-01 07:33:23,22.31
2023-03-01 07:33:25,22.27
2023-03-01 07:33:32,22.33
2023-03-01 07:33:35,22.25
2023-03-01 07:33:37,22.27
2023-03-01 07:33:44,22.29
2023-03-01 07:33:46,22.31
2023-03-01 07:33:48,22.24
2023-03-01 07:33:50,22.25
2023-03-01 07:33:52,22.29
2023-03-01 07:33:55,22.30
2023-03-01 07:33:57,22.30
2023-03-01 07:33:59,22.19
2023-03-01 07:34:01,22.31
2023-03-01 07:34:03,22.30
2023-03-01 07:34:05,22.34
2023-03-01 07:34:12,22.21
2023-03-01 07:34:14,22.27
2023-03-01 07:34:17,22.19
2023-03-01 07:34:19,22.27
2023-03-01 07:34:21,22.25
2023-03-01 07:34:23,22.23
2023-03-01 07:34:25,22.30
2023-03-01 07:34:27,22.24
2023-03-01 07:34:29,22.29
2023-03-01 07:34:32,22.33
2023-03-01 07:34:34,22.21
2023-03-01 07:34:36,22.30
2023-03-01 07:34:38,22.24
2023-03-01 07:34:40,22.24
2023-03-01 07:34:42,22.38
2023-03-01 07:34:44,22.29
2023-03-01 07:34:47,22.38
2023-03-01 07:34:49,22.25
2023-03-01 07:34:51,22.21
2023-03-01 07:34:53,22.25
2023-03-01 07:34:55,22.23
2023-03-01 07:34:57,22.20
2023-03-01 07:34:59,22.24
2023-03-01 07:35:02,22.24
2023-03-01 07:35:04,22.34
2023-03-01 07:35:06,22.23
2023-03-01 07:35:08,22.33
2023-03-01 07:35:10,22.30
2023-03-01 07:35:12,22.23
2023-03-01 07:35:14,22.34
2023-03-01 07:35:17,22.33
2023-03-01 07:35:19,22.33
2023-03-01 07:35:21,22.24
2023-03-01 07:35:23,22.27
2023-03-01 07:35:25,22.25
2023-03-01 07:35:27,22.27
2023-03-01 07:35:30,22.21
2023-03-01 07:35:32,22.27
2023-03-01 07:35:34,22.27
2023-03-01 07:35:36,22.17
2023-03-01 07:35:38,22.31
2023-03-01 07:35:40,22.24
2023-03-01 07:35:42,22.24
2023-03-01 07:35:45,22.27
2023-03-01 07:35:47,22.33
2023-03-01 07:35:49,22.30
2023-03-01 07:35:51,22.31
2023-03-01 07:35:53,22.27
2023-03-01 07:35:55,22.30
2023-03-01 07:35:57,22.34
2023-03-01 07:36:00,22.25
2023-03-01 07:36:02,22.29
2023-03-01 07:36:04,22.24
2023-03-01 07:36:06,22.23
2023-03-01 07:36:08,22.23
2023-03-01 07:36:10,22.14
2023-03-01 07:36:12,22.20
2023-03-01 07:36:15,22.29
2023-03-01 07:36:17,22.31
2023-03-01 07:36:19,22.30
2023-03-01 07:36:21,22.27
2023-03-01 07:36:23,22.19
2023-03-01 07:36:25,22.21
2023-03-01 07:36:27,22.20
2023-03-01 07:36:30,22.25
2023-03-01 07:36:32,22.31
2023-03-01 07:36:34,22.25
2023-03-01 07:36:36,22.29
2023-03-01 07:36:38,22.24
2023-03-01 07:36:40,22.27
2023-03-01 07:36:43,22.29
2023-03-01 07:36:45,22.27
2023-03-01 07:36:47,22.27
2023-03-01 07:36:49,22.30
2023-03-01 07:36:51,22.23
2023-03-01 07:36:53,22.25
2023-03-01 07:36:55,22.40
2023-03-01 07:36:58,22.24
2023-03-01 07:37:00,22.29
2023-03-01 07:37:02,22.20
2023-03-01 07:37:04,22.27
2023-03-01 07:37:06,22.29
2023-03-01 07:37:08,22.27
2023-03-01 07:37:10,22.25
2023-03-01 07:37:13,22.27
2023-03-01 07:37:15,22.21
2023-03-01 07:37:17,22.25
2023-03-01 07:37:19,22.25
2023-03-01 07:37:21,22.23
2023-03-01 07:37:23,22.31
2023-03-01 07:37:26,22.20
2023-03-01 07:37:28,22.21
2023-03-01 07:37:30,22.21
2023-03-01 07:37:32,22.13
2023-03-01 07:37:34,22.27
2023-03-01 07:37:36,22.16
2023-03-01 07:37:43,22.23
2023-03-01 07:37:46,22.23
2023-03-01 07:37:48,22.27
2023-03-01 07:37:50,22.17
2023-03-01 07:37:52,22.20
2023-03-01 07:37:54,22.24
2023-03-01 07:37:56,22.20
2023-03-01 07:37:58,22.20
2023-03-01 07:38:01,22.33
2023-03-01 07:38:03,22.23
2023-03-01 07:38:05,22.19
2023-03-01 07:38:07,22.27
2023-03-01 07:38:09,22.19
2023-03-01 07:38:16,22.24
2023-03-01 07:38:18,22.23
2023-03-01 07:38:21,22.24
